Organization,Link,Sentence,isWayback,Label,Generality,Approximation,Degree,Combinatory,Explicit Subjectivity,Vagueness Label
Suncor Energy,http://web.archive.org/web/20220701142339/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-03-24-suncor-energy-recognized-for-exceptional-environment-performance-en.pdf?modified=20210902050625,Suncor Energy today reported it has been recognized by industry for exceptional environmental performance in the areas of oil sands tailings management and land reclamation.,True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20190926171658/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2019/quest-ccs-facility-reaches-major-milestone.html,"Currently, CCUS for enhanced oil recovery (EOR) is the most commercially viable option to progress self-funded carbon capture.""",True,1,most,,,currently,,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/03/0302-Q422-Front-End.pdf,"Working collectively with the federal and provincial governments, the Pathways Alliance has a goal to achieve net zero GHG emissions from oil sands operations by 2050 and is pursuing realistic and workable solutions to deliver significant emission reductions.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c1d26c53-2e5a-4a5a-82e2-d14c9d4f05c0,"Consistent with our strategy, we will continue to invest in infrastructure to serve customers and enhance Pembina's integrated value chain, while also pursuing opportunities to enhance access to global markets and better align the Company's future with the transition to a lower-carbon economy.",True,1,a,,low,"better, consistent","our, we",1
Suncor Energy,http://web.archive.org/web/20220704144436/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2015/2015-11-22-oil-sands-companies-demonstrate-leadership-on-climate-change-en.pdf?modified=20210902050845,These measures provide predictability and certainty and will help ensure that producers can responsibly develop and grow this significant Canadian resource while also addressing global concerns about climate change.,True,1,,about,,significant,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123651&lang=en,"We remain highly committed to protecting the Great Lakes, the environment, and all the people who use these waters while delivering energy that people rely on daily.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/b2ba241c-3287-4179-9dac-7e925621f35b,Our province's energy industry is vital to achieving Canada's GHG reduction goals and Alberta companies are global leaders in reducing emissions.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123665&lang=en,"Over the past several years, we have firmly established Enbridge as a competitive player in offshore wind in Europe and developed an extensive portfolio of projects.",False,1,"a, an, several",,,competitive,we,0
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2020/Imperial-announces-first-quarter-2020-financial-and-operating-results/default.aspx,"The report provides enhanced disclosure and addresses environmental, social and governance areas of focus for the company, including information on advanced technologies that could reduce greenhouse gas emissions intensity by about 25 percent to 90 percent for new oil sands production.",True,1,,,,,,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/08/0803-Q223-Front-End.pdf,"In 2022, we increased our investment in R&D by 30% over 2021 levels with over $587 million invested in technology development and deployment focusing on reductions in our environmental footprint, including reductions in greenhouse gas (""GHG"") emissions and productivity improvements.",True,1,,,,,"our, we",0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1181/06/0802_q2-18-front-end.pdf,"This is a true demonstration of the quality, size and scale of the Company's Oil Sands Mining and Upgrading operations which through environmentally responsible, safe, reliable, effective and efficient operations, provide sustainable long life low decline production and significant value for stakeholders.",True,1,a,,"long, low","effective, efficient, reliable, responsible, safe, significant, sustainable, true",,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1281/02/0305_q419-front-end.pdf,"Canadian Natural has invested approximately $3.4 billion in research and development from 2009 to 2018 and continues to invest in technology to unlock reserves, become more effective and efficient, increase production and reduce the Company's environmental footprint.",True,1,,,,,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/4842329f-03f7-4fe6-9c80-1b9ee51a11cb,"We have also launched a process to enhance ESG integration across the Company, including establishing a governance framework to develop a longer-term GHG strategy and emissions intensity reduction targets.",False,1,a,,long,,,1
Shell Canada,http://web.archive.org/web/20191216050805/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/fuellingchange.html,"The winning projects range from building an industrial composting system to reducing waste entering landfills in Alberta, to the delivery of water management and watershed educational programming to over 20 schools in Montmagny and area in Quebec.",True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220701143738/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2016/2016-07-21-suncor-releases-2016-report-on-sustainability-and-new-long-term-sustainability-goals-en.pdf?modified=20210902050913,"Sustainability goals drive us far beyond our current capabilities, setting our ambition to be globally cost and carbon competitive, while meeting the energy needs in Canada and around the world.'",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220703204840/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2014/2014-12-04-suncor-energy-recognized-for-excellence-in-corporate-reporting-en.pdf?modified=20210902050818,"'Our Report on Sustainability addresses and reports on the challenges we face in our industry,' said Arlene Strom, vice president, sustainability and communications, Suncor.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123646&lang=en,Enbridge has filed for all major regulatory and environmental permits necessary to construct the tunnel and the review processes for each of these continue to advance on schedule.,True,1,,,,,,0
Imperial Oil,http://web.archive.org/web/20210730120849/https://news.imperialoil.ca/news-releases/news-releases/2021/Imperial-Announces-Second-Quarter-2021-Financial-and-Operating-Results/default.aspx,"The goal of this unique alliance, working collectively with the federal and Alberta governments, is to achieve net zero greenhouse gas emissions from oil sands operations by 2050 to help Canada meet its climate goals.",True,1,,,,,,1
