Organization,Link,Sentence,isWayback,Label,Generality,Approximation,Degree,Combinatory,Explicit Subjectivity
Enbridge,https://www.enbridge.com/media-center/news/details?id=123758&lang=en,"""Our asset positions, cost advantages and, increasingly, our ability to deliver integrated conventional and lower-carbon solutions makes Enbridge the first-choice for energy delivery by our customers.",True,1,,,low,,our
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-07-nr-fort-mckay-first-nation-and-su-to-partner-on-prospective-os-dev-opportunity-en.pdf?modified=20240613191936&created=20240307180528,"""With this agreement, we are creating the conditions for sustainable prosperity, growth and health for our Nation for generations to come, while leading the way on protecting our land and water,' says Chief Raymond Powder of Fort McKay First Nation.",False,1,,,,sustainable,"our, we"
Suncor Energy,http://web.archive.org/web/20220701140707/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-11-04-suncor-energy-reports-2010-third-quarter-results-en.pdf?modified=20210902050613,"In September, Suncor marked an industry milestone, becoming the first oil sands company to complete surface reclamation of a tailings pond, a key step in returning the site back to nature.",True,1,"a, an",,,complete,
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/87981cd6-b786-4a87-b62b-a6794238f970,Alberta is the leading region in Canada for existing ammonia production and the Project is another opportunity to support development of a hydrogen and low-carbon economy.,True,1,a,,low,,
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"For example, our recently announced partnerships and collaboration with Capital Power, Lehigh Cement and local indigenous communities on a carbon capture and storage hub in central Alberta has the potential to sequester nearly 4 million tonnes of CO2 emissions annually.",False,1,a,nearly,recently,central,our
Suncor Energy,http://web.archive.org/web/20220703210552/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-09-22-suncor-energy-advances-wintering-hills-wind-power-project-en.pdf?modified=20210902050608,'Suncor Energy's announcement shows that Alberta continues to move in the right direction as we work to increase the role of renewable resources in our energy mix.',True,1,,,,right,"our, we"
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,"""We are excited about taking the next steps in our ambitious journey to achieving carbon neutrality across the cement and concrete value chain.",False,1,,about,,ambitious,our
Enbridge,https://www.enbridge.com/media-center/news/details?id=123647&lang=en,"They also contribute to strengthening Enbridge's ability to capture new growth opportunities and adapt to a lower-carbon future over time, building on the Company's significant expansion into natural gas and our rapidly growing renewables portfolio.",True,1,a,,"low, new","natural, significant",our
Enbridge,https://www.enbridge.com/media-center/news/details?id=123689&lang=en,EIEC has been recently constructed to industry-leading environmental standards designed to minimize its carbon emissions footprint.,True,1,,,recently,,
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"And, we've added new Scope 3 metrics to track the emissions intensity of the energy we deliver and our contribution to reducing global emissions through demand-side management programs and our growing renewable and low-carbon investments.",True,1,,,"low, new",,"our, we"
Enbridge,https://www.enbridge.com/media-center/news/details?id=123743&lang=en,"Bruno Bensasson, EDF Group Senior Executive Vice-President Renewable Energies and Chairman and Chief Executive Officer of EDF Renewables: ""We are very proud to commission France's first industrial offshore wind farm.",False,1,,,very,proud,
Suncor Energy,http://web.archive.org/web/20221007083517/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2019/2019-09-09-suncor-proceeds-with-cogen-en.pdf?modified=20220921202841,GHG emissions in the province of Alberta will be reduced by approximately 2.5 megatonnes per year,True,1,,approximately,,,
Enbridge,https://www.enbridge.com/media-center/news/details?id=123758&lang=en,"""The strength of our core businesses, disciplined approach to capital allocation and strong balance sheet places us in a great position to meet growing energy demand safely, reliably, affordably and sustainably.",False,1,a,,,"great, reliably, safely, strong, sustainably",our
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/60a97c1d-4e25-48b0-be91-cf80ec73166d,"Further, this project will contribute to annual greenhouse gas emission reductions at the Empress NGL Extraction Facility through the utilization of the co-generation waste heat and the low-emission power generated.",False,1,,,low,,
Enbridge,https://www.enbridge.com/media-center/news/details?id=123795&lang=en,"""Hydrogen is a renewable energy source that is critical to reducing greenhouse gas emissions and helping the province transition to clean energy.",True,1,a,,,"clean, critical",
Suncor Energy,http://web.archive.org/web/20221007083517/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2019/2019-09-09-suncor-proceeds-with-cogen-en.pdf?modified=20220921202841,Suncor's greenhouse gas (GHG) emissions associated with steam production at Base Plant will be reduced by approximately 25%,True,1,,approximately,,,
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c23badf6-e264-4288-a177-fc1aa20c470d,"We are excited about these initiatives and our strong commitment to ESG is being demonstrated by the ambitious new projects, partnerships and targets we have announced this year.",False,1,,about,new,"ambitious, strong","our, we"
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"""In Liquids Pipelines, we closed the acquisition of the Ingleside Energy Center, North America's premier light crude oil export platform, with over $1 billion in embedded conventional and low-carbon organic growth potential.",True,1,,,"light, low",crude,we
Enbridge,https://www.enbridge.com/media-center/news/details?id=123626&lang=en,"The Bremen-based German company operates in 25 countries worldwide and has realized wind energy projects with around 2,270 wind turbines and an output of 4,720 MW.",True,1,an,around,,,
Imperial Oil,http://web.archive.org/web/20220908090747/https://news.imperialoil.ca/news-releases/news-releases/2022/Imperial-advances-renewable-diesel-plans-awards-hydrogen-contract-to-Air-Products/default.aspx,Third-party studies have shown renewable diesel from various non-petroleum feedstocks can provide life-cycle greenhouse gas emissions reductions of approximately 40 to 80 percent as compared to petroleum-based diesel.,True,1,various,approximately,,,
