Organization,Link,Sentence,isWayback,Label
Enbridge,https://www.enbridge.com/media-center/news/details?id=123797&lang=en,"With respect to any Series 5 Shares that remain outstanding after March 1, 2024, holders thereof will be entitled to receive quarterly fixed cumulative preferential cash dividends, as and when declared by the Board of Directors of Enbridge.",False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"Along with the cash flows from new projects placed into service, we expect our leverage to be at the low end of our target range in 2022.",False,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123730&lang=en,"VANCOUVER, BC, July 29, 2022 /CNW/ - Pacific Energy Corporation Limited (Pacific Energy) and Enbridge Inc. (Enbridge or the Company) (TSX: ENB) (NYSE: ENB) today announced an agreement to jointly invest in the construction and operation of the Woodfibre LNG project.",True,0
Suncor Energy,http://web.archive.org/web/20220703201724/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2015/2015-10-15-suncor-energy-recipients-of-2015-petro-canada-face-program-announced-en.pdf?modified=20210902050838,"The 2015 FACE recipients from across Canada represent both summer and winter sports, and athletes competing in individual or team events.",True,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c01bca03-8f31-4eb6-817d-0955e2222f7f,Alliance Pipeline Open Season,False,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1213/03/0307_q418-front-end.pdf,"Share purchases for cancellation totaled 30,857,727 common shares at a weighted average share price of $41.56.",True,0
Suncor Energy,http://web.archive.org/web/20220703213337/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-07-21-suncor-energy-to-release-second-quarter-2011-financial-results-en.pdf?modified=20210902050632,"Suncor Energy Inc. will release its second quarter financial results on Thursday, July 28, 2011 at 12:30 a.m. MDT (2:30 a.m. EDT).",True,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123723&lang=en,"""We're very excited to be moving our Alberta carbon capture strategy forward with the Open Access Wabamun Carbon Hub, which received approval from the Government of Alberta for further development.",False,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/f50f7d01-b958-4628-8015-c1c3f339817d,"For shareholders receiving their common share dividends in U.S. funds, the July 2020 cash dividend is expected to be approximately U.S. $0.1548 per share (before deduction of any applicable Canadian withholding tax) based on a currency exchange rate of 0.7372.",True,0
Imperial Oil,http://web.archive.org/web/20210202131030/https://news.imperialoil.ca/news-releases/news-releases/2021/Imperial-announces-fourth-quarter-2020-financial-and-operating-results/default.aspx,"Net loss in 2020 was $1,857 million, or $2.53 per share on a diluted basis, compared to net income of $2,200 million or $2.88 per share in 2019.",True,0
