Organization,Link,Date Scraped,Type
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-10-21-suncor-energy-to-release-q3-2025-results-en.pdf?modified=20251021204031&created=20251021203940,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-10-14-news-release-su-announces-retirement-of-chief-financial-officer.pdf?modified=20251014200218&created=20251014200143,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-08-05-news-release-earnings-q2-2025-en.pdf?modified=20250805205453&created=20250805151102,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-08-05-news-release-q2-dividend-en.pdf?modified=20250805203135&created=20250805203135,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-07-22-suncor-energy-to-release-q2-2025-results-en.pdf?modified=20250722205716&created=20250722205020,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-05-06-news-release-earnings-q1-2025-en.pdf?modified=20250506205155&created=20250505143035,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-05-06-news-release-q1-dividend-en.pdf?modified=20250506203536&created=20250506203526,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-05-06-news-release-suncor-energy-reports-voting-results-from-agm-en.pdf?modified=20250506202530&created=20250505142808,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-04-22-nr-su-to-release-first-quarter-2025-financial-results-and-hold-agm-en.pdf?modified=20250422204832&created=20250422204832,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-02-26-news-release-su-annual-report-2024-en.pdf?modified=20250226225619&created=20250225191815,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-02-05-news-release-earnings-q4-2024-en.pdf?modified=20250205220758&created=20250205174304,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-02-05-news-release-q4-dividend-en.pdf?modified=20250205213131&created=20250205211823,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-01-22-media-advisory-suncor-energy-to-release-fourth-quarter-2024-financial-results-en.pdf?modified=20250122220243&created=20250122215552,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2025/2025-01-06-nr-suncor-energy-achieves-record-quarterly-and-full-year-operational-results-en.pdf?modified=20250106220131&created=20250106215812,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-12-12-news-release-suncor-energy-announces-2025-corporate-guidance-en.pdf?modified=20241212114623&created=20241212112151,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-11-22-suncor-energy-news-release-update-on-impact-of-canada-post-strike-en.pdf?modified=20241122220240&created=20241122220120,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-11-12-news-release-earnings-q3-2024-en.pdf?modified=20241112220740&created=20241112161643,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-11-12-news-release-q3-dividend-en.pdf?modified=20241112213342&created=20241112212932,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-10-22-news-release-suncor-energy-to-release-third-quarter-2024-financial-results-en.pdf?modified=20241022211004&created=20241022210955,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/20241003newsreleasesuncorannouncespricingoftenderoffersforcertainoutstandingseriesofnotesen.pdf?modified=20241003202511&created=20241003202438,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-10-02-news-release-suncor-announces-early-tender-results-and-increase-of-tender-offers-en.pdf?modified=20241003050621&created=20241003045637,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-09-19-suncor-announces-tender-offers-for-certain-outstanding-series-of-notes-en.pdf?modified=20240919200205&created=20240919195658,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-08-06-news-release-earnings-q2-2024-en.pdf?modified=20241030140652&created=20240806185133,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-08-06-news-release-q2-dividend-en.pdf?modified=20241030140303&created=20240806202818,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-07-23-suncor-energy-to-release-second-quarter-2024-financial-results-en.pdf?modified=20240806205447&created=20240723214321,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-07-16-suncors-petro-canada-extends-team-canada-olympic-paralympic-partnerships-en.pdf?modified=20240716215010&created=20240716214946,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-06-20-nr-competition-act-amendment-en.pdf?modified=20240620221202&created=20240620220945,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-06-06-news-release-rk-remarks-envi-committee-en.pdf?modified=20240614163431&created=20240606222422,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-05-07-news-release-earnings-q1-2024-en.pdf?modified=20240613191938&created=20240507101129,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-05-07-news-release-suncor-energy-declares-dividend-en.pdf?modified=20240613191938&created=20240507211319,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-05-07-news-release-suncor-energy-reports-voting-results-from-agm-en.pdf?modified=20240613191939&created=20240507205908,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-04-30-media-advisory-suncor-energy-q1-earnings-and-agm-en.pdf?modified=20240613191937&created=20240430205934,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-04-29-media-advisory-suncor-energy-to-hold-business-update-webcast-en.pdf?modified=20240613191937&created=20240429205600,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-26-news-release-petro-canada-x-triangle-rewards-loyalty-partnership-en.pdf?modified=20240613191937&created=20240326115506,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-21-news-release-su-annual-report-2023-en.pdf?modified=20240613191936&created=20240321155927,10/27/2025,pdf
