Organization,Link,Date Scraped,Type
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-05-07-news-release-earnings-q1-2024-en.pdf?modified=20240507213212,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-05-07-news-release-suncor-energy-declares-dividend-en.pdf?modified=20240507211327,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-05-07-news-release-suncor-energy-reports-voting-results-from-agm-en.pdf?modified=20240507210107,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-04-30-media-advisory-suncor-energy-q1-earnings-and-agm-en.pdf?modified=20240430210119,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-04-29-media-advisory-suncor-energy-to-hold-business-update-webcast-en.pdf?modified=20240429210039,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-26-news-release-petro-canada-x-triangle-rewards-loyalty-partnership-en.pdf?modified=20240326115918,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-21-news-release-su-annual-report-2023-en.pdf?modified=20240522152716,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-07-nr-fort-mckay-first-nation-and-su-to-partner-on-prospective-os-dev-opportunity-en.pdf?modified=20240307180837,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-21-news-release-earnings-q4-2023-en.pdf?modified=20240522152548,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-21-news-release-suncor-energy-announces-upcoming-changes-to-its-bod-en.pdf?modified=20240522152632,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-21-news-release-q4-dividend-en.pdf?modified=20240522152607,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-15-news-release-suncor-energy-to-release-fourth-quarter-2023-financial-results-en.pdf?modified=20240215212525,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-01-03-news-release-update-on-2023-performance-en.pdf?modified=20240104183302,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-12-07-news-release-suncor-energy-announces-kent-ferguson-new-svp-en.pdf?modified=20231207205232,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-12-05-news-release-suncor-energy--announces--2024-corporate-guidance-en.pdf?modified=20231205221008,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-27-news-release-suncor-energy-announces-restart-production-terra-nova-en.pdf?modified=20231127114653,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-20-news-release-suncor-energy-closes-purchase-of-totalenergies-canadian-ops-en.pdf?modified=20231120213217,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-14-news-release-suncor-increases-quarterly-dividend-en.pdf?modified=20240202203425,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-09-news-release-su-bond-issuance-en.pdf?modified=20231109232934,10/27/2025,pdf
